Architecture,Activation,Optimizer,SeqLength,GradClipping,Accuracy,F1,EpochTime(s)
rnn,relu,adam,25,False,0.6584,0.6583,2.2
rnn,relu,adam,25,True,0.678,0.6779,2.37
rnn,relu,sgd,25,False,0.5126,0.5125,1.85
rnn,relu,sgd,25,True,0.5089,0.4984,2.13
rnn,relu,rmsprop,25,False,0.6754,0.6748,1.98
rnn,relu,rmsprop,25,True,0.6694,0.6642,2.26
rnn,tanh,adam,25,False,0.6332,0.6273,2.03
rnn,tanh,adam,25,True,0.6874,0.6867,2.33
rnn,tanh,sgd,25,False,0.5092,0.5079,1.84
rnn,tanh,sgd,25,True,0.5126,0.5115,2.11
rnn,tanh,rmsprop,25,False,0.6582,0.6566,1.97
rnn,tanh,rmsprop,25,True,0.6735,0.6723,2.27
rnn,sigmoid,adam,25,False,0.6486,0.6484,2.05
rnn,sigmoid,adam,25,True,0.6327,0.6305,2.32
rnn,sigmoid,sgd,25,False,0.5016,0.4995,1.85
rnn,sigmoid,sgd,25,True,0.5036,0.5017,2.14
rnn,sigmoid,rmsprop,25,False,0.666,0.6659,1.99
rnn,sigmoid,rmsprop,25,True,0.6772,0.6768,2.27
rnn,relu,adam,50,False,0.5637,0.5586,2.06
rnn,relu,adam,50,True,0.6534,0.6526,2.36
rnn,relu,sgd,50,False,0.5082,0.5064,1.87
rnn,relu,sgd,50,True,0.5114,0.5098,2.14
rnn,relu,rmsprop,50,False,0.5808,0.5805,2.01
rnn,relu,rmsprop,50,True,0.6805,0.68,2.3
rnn,tanh,adam,50,False,0.5648,0.5269,2.06
rnn,tanh,adam,50,True,0.6826,0.6819,2.35
rnn,tanh,sgd,50,False,0.5122,0.5121,1.87
rnn,tanh,sgd,50,True,0.5088,0.5088,2.14
rnn,tanh,rmsprop,50,False,0.6355,0.6324,2.02
rnn,tanh,rmsprop,50,True,0.6852,0.6852,2.28
rnn,sigmoid,adam,50,False,0.5938,0.5902,2.04
rnn,sigmoid,adam,50,True,0.6741,0.674,2.32
rnn,sigmoid,sgd,50,False,0.4996,0.335,1.85
rnn,sigmoid,sgd,50,True,0.5006,0.3371,2.14
rnn,sigmoid,rmsprop,50,False,0.6466,0.6464,2.05
rnn,sigmoid,rmsprop,50,True,0.6684,0.6666,2.36
rnn,relu,adam,100,False,0.617,0.6151,2.24
rnn,relu,adam,100,True,0.6663,0.6657,2.47
rnn,relu,sgd,100,False,0.5146,0.5122,2.0
rnn,relu,sgd,100,True,0.5097,0.5035,2.3
rnn,relu,rmsprop,100,False,0.6328,0.6287,2.15
rnn,relu,rmsprop,100,True,0.6674,0.6663,2.4
rnn,tanh,adam,100,False,0.5934,0.5899,2.17
rnn,tanh,adam,100,True,0.6267,0.6237,2.44
rnn,tanh,sgd,100,False,0.5156,0.5071,1.99
rnn,tanh,sgd,100,True,0.507,0.5069,2.24
rnn,tanh,rmsprop,100,False,0.6019,0.6013,2.12
rnn,tanh,rmsprop,100,True,0.6554,0.6554,2.38
rnn,sigmoid,adam,100,False,0.608,0.6074,2.18
rnn,sigmoid,adam,100,True,0.6935,0.6932,2.43
rnn,sigmoid,sgd,100,False,0.5012,0.3785,2.0
